----------------------------------------------------------------------------------------------------
Loaded from: mnist_q.pth
----------------------------------------------------------------------------------------------------
BASELINE
Test set: Average loss: 0.0503, Accuracy: 9856/10000 (99%)
MnistNetwork(
  (conv1): Conv2d(1, 10, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(10, 20, kernel_size=(5, 5), stride=(1, 1))
  (conv2_drop): Dropout2d(p=0.5)
  (fc1): Linear(in_features=320, out_features=50, bias=True)
  (fc2): Linear(in_features=50, out_features=10, bias=True)
)
FLOPS: 935040.0
Episode: 19 | Iteration: 7 | Acc.: 0.3575 | FLOPS: 561536.0
Episode: 19 | Iteration: 8 | Acc.: 0.8141 | FLOPS: 374784.0
Episode: 19 | Iteration: 9 | Acc.: 0.7691 | FLOPS: 374784.0
Episode: 20 | Iteration: 0 | Acc.: 0.6298 | FLOPS: 468160.0
Episode: 20 | Iteration: 1 | Acc.: 0.7554 | FLOPS: 374784.0
Episode: 20 | Iteration: 2 | Acc.: 0.9141 | FLOPS: 561536.0
Episode: 20 | Iteration: 3 | Acc.: 0.3383 | FLOPS: 374784.0
Episode: 20 | Iteration: 4 | Acc.: 0.5847 | FLOPS: 374784.0
Episode: 20 | Iteration: 5 | Acc.: 0.8875 | FLOPS: 374784.0
Episode: 20 | Iteration: 6 | Acc.: 0.2921 | FLOPS: 188032.0
Episode: 20 | Iteration: 7 | Acc.: 0.9251 | FLOPS: 561536.0
Episode: 20 | Iteration: 8 | Acc.: 0.9784 | FLOPS: 841664.0
Episode: 20 | Iteration: 9 | Acc.: 0.5218 | FLOPS: 374784.0
Episode: 21 | Iteration: 0 | Acc.: 0.6633 | FLOPS: 468160.0
Episode: 21 | Iteration: 1 | Acc.: 0.9592 | FLOPS: 654912.0
Episode: 21 | Iteration: 2 | Acc.: 0.4915 | FLOPS: 374784.0
Episode: 21 | Iteration: 3 | Acc.: 0.9766 | FLOPS: 748288.0
Episode: 21 | Iteration: 4 | Acc.: 0.5593 | FLOPS: 468160.0
Episode: 21 | Iteration: 5 | Acc.: 0.9083 | FLOPS: 468160.0
Episode: 21 | Iteration: 6 | Acc.: 0.8026 | FLOPS: 468160.0
Episode: 21 | Iteration: 7 | Acc.: 0.8445 | FLOPS: 281408.0
Episode: 21 | Iteration: 8 | Acc.: 0.2268 | FLOPS: 281408.0
Episode: 21 | Iteration: 9 | Acc.: 0.4279 | FLOPS: 561536.0
Episode: 22 | Iteration: 0 | Acc.: 0.397 | FLOPS: 374784.0
Episode: 22 | Iteration: 1 | Acc.: 0.899 | FLOPS: 374784.0
Episode: 22 | Iteration: 2 | Acc.: 0.8602 | FLOPS: 468160.0
Episode: 22 | Iteration: 3 | Acc.: 0.858 | FLOPS: 468160.0
Episode: 22 | Iteration: 4 | Acc.: 0.4859 | FLOPS: 468160.0
Episode: 22 | Iteration: 5 | Acc.: 0.6926 | FLOPS: 281408.0
Episode: 22 | Iteration: 6 | Acc.: 0.5164 | FLOPS: 374784.0
Episode: 22 | Iteration: 7 | Acc.: 0.6652 | FLOPS: 748288.0
Episode: 22 | Iteration: 8 | Acc.: 0.9539 | FLOPS: 748288.0
Episode: 22 | Iteration: 9 | Acc.: 0.7065 | FLOPS: 468160.0
Episode: 23 | Iteration: 0 | Acc.: 0.8977 | FLOPS: 654912.0
Episode: 23 | Iteration: 1 | Acc.: 0.9199 | FLOPS: 654912.0
Episode: 23 | Iteration: 2 | Acc.: 0.8876 | FLOPS: 561536.0
Episode: 23 | Iteration: 3 | Acc.: 0.9462 | FLOPS: 561536.0
Episode: 23 | Iteration: 4 | Acc.: 0.8706 | FLOPS: 374784.0
Episode: 23 | Iteration: 5 | Acc.: 0.2794 | FLOPS: 188032.0
Episode: 23 | Iteration: 6 | Acc.: 0.9296 | FLOPS: 468160.0
Episode: 23 | Iteration: 7 | Acc.: 0.8764 | FLOPS: 468160.0
Episode: 23 | Iteration: 8 | Acc.: 0.7014 | FLOPS: 374784.0
Episode: 23 | Iteration: 9 | Acc.: 0.8131 | FLOPS: 468160.0
